                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7102,                 4.7438,                 1.4318,                0.04462,                0.10243,                0.03915,                0.01685,                 1.7454,                 4.5397,                 1.3435,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                 1.5483,                 4.8733,                 1.3007,                0.04583,                0.20486,                0.06428,                0.03213,                 1.6711,                 4.1196,                 1.2948,             3.1147e-05,             3.1147e-05,             3.1147e-05
                      3,                 1.4218,                 3.6776,                 1.2124,                 0.6009,                0.29036,                 0.2015,                0.13342,                 1.3369,                 3.5618,                  1.081,              4.967e-05,              4.967e-05,              4.967e-05
                      4,                 1.2503,                 2.1875,                 1.1607,                0.16408,                0.81959,                0.30771,                0.19532,                 1.2694,                 3.5753,                 1.0625,             6.8069e-05,             6.8069e-05,             6.8069e-05
                      5,                 1.3973,                 1.8238,                 1.1834,                0.21685,                0.51231,                  0.309,                 0.1943,                 1.3464,                 9.0813,                 1.0973,             8.6345e-05,             8.6345e-05,             8.6345e-05
                      6,                 1.3259,                  1.596,                 1.1983,                0.10388,                0.41455,                0.11984,                0.08261,                 1.1537,                 19.076,                  1.025,              0.0001045,              0.0001045,              0.0001045
                      7,                 1.1577,                  1.347,                 1.0543,                0.00068,                0.00347,                0.00035,                0.00028,                  1.152,                 25.861,                 1.0227,             0.00012253,             0.00012253,             0.00012253
                      8,                 1.1355,                 1.4942,                 1.1036,                0.00026,                0.00174,                0.00013,                  8e-05,                 1.1839,                  25.46,                 1.0443,             0.00014043,             0.00014043,             0.00014043
                      9,                  1.061,                 1.1005,                0.99451,                0.30589,                0.46373,                0.28883,                0.21868,                 1.0699,                 7.1576,                 1.0081,             0.00015821,             0.00015821,             0.00015821
                     10,                  1.056,                0.98731,                 1.0121,                0.35299,                0.80522,                0.48163,                0.36036,                  1.079,                 3.9735,                 1.0162,             0.00017587,             0.00017587,             0.00017587
                     11,                  1.046,                 1.0426,                 1.0551,                0.44826,                0.70104,                0.45671,                0.33841,                 1.1917,                 4.2169,                 1.0619,              0.0001934,              0.0001934,              0.0001934
                     12,                 1.0202,                 1.1424,                 1.0536,                0.43095,                0.82383,                0.59465,                0.43162,                  1.217,                 3.1672,                 1.0772,             0.00021081,             0.00021081,             0.00021081
                     13,                 1.0205,                0.93371,                 1.0165,                0.76583,                0.83727,                0.86658,                0.68511,                0.95678,                0.85232,                0.96108,             0.00022809,             0.00022809,             0.00022809
                     14,                 1.0856,                0.86648,                0.96946,                0.73057,                0.83691,                0.88031,                0.64596,                 1.1536,                 1.0676,                 1.0327,             0.00024526,             0.00024526,             0.00024526
                     15,                  1.134,                0.88259,                 1.0309,                0.75189,                 0.6517,                 0.7536,                0.59214,                 1.0204,                  1.647,                0.99011,              0.0002623,              0.0002623,              0.0002623
